ID,comment,sentiment
1,I think this item is useless. Total waste of money.,Negative
2,I think this item looks useless. Save your money.,Negative
3,This item feels dreadful. Save your money.,Negative
4,The price is very brilliant. Best purchase ever.,Neutral
5,The product is brilliant. Best purchase ever.,Positive
6,Customer support feels okay. As expected.,Neutral
7,My experience looks really terrible. Total waste of money.,Negative
8,I think the packaging feels disappointing. Total waste of money.,Negative
9,I think my experience looks mediocre. It does the job.,Neutral
10,I think delivery proved to be fantastic. Best purchase ever.,Positive
11,Customer support is fantastic. I love it.,Positive
12,I think the product seems terrible. Will return it.,Negative
13,The price looks absolutely mediocre. Nothing special.,Neutral
14,I think the service feels superb. I love it.,Positive
15,This item seems fairly perfect. I love it.,Positive
16,I think the quality seems subpar. Do not buy.,Negative
17,This item is stellar. Highly recommended!,Positive
18,Delivery is truly excellent. Will buy again.,Positive
19,I think customer support was regular. As expected.,Neutral
20,The service feels wonderful. I love it.,Positive
21,Customer support is extremely horrible. I hate it.,Negative
22,I think delivery is stellar. Highly recommended!,Positive
23,Customer support is extremely awesome. Highly recommended!,Positive
24,The service was superb. Will buy again.,Positive
25,I think the product seems subpar. Will return it.,Negative
26,The quality is very fantastic. Very satisfied.,Positive
27,The service is absolutely awful. I hate it.,Negative
28,My experience was really poor. Do not buy.,Negative
29,I think delivery feels terrible. Total waste of money.,Negative
30,The quality proved to be average. Might buy again.,Neutral
31,I think the price looks wonderful. Highly recommended!,Positive
32,Delivery proved to be absolutely average. As expected.,Neutral
33,The quality is somewhat disappointing. Do not buy.,Negative
34,The design seems very excellent. Very satisfied.,Positive
35,The packaging looks truly disappointing. Very frustrated.,Negative
36,Customer support is really average. Might buy again.,Neutral
37,The service is terrible. I hate it.,Negative
38,I think delivery seems bad. Very frustrated.,Negative
39,Delivery feels terrible. Do not buy.,Negative
40,Customer support feels extremely worst. Total waste of money.,Neutral
41,The design is very disappointing. Total waste of money.,Negative
42,The price is perfect. Will buy again.,Positive
43,Customer support feels completely wonderful. Best purchase ever.,Positive
44,I think the product seems standard. Might buy again.,Neutral
45,The product is fairly excellent. Highly recommended!,Positive
46,The price is brilliant. Best purchase ever.,Positive
47,Delivery proved to be worst. Save your money.,Negative
48,The product was useless. I hate it.,Negative
49,This item feels very worst. Total waste of money.,Negative
50,The product looks wonderful. Highly recommended!,Positive
51,The price is stellar. Highly recommended!,Positive
52,The quality looks totally perfect. Will buy again.,Positive
53,The product is somewhat disappointing. Do not buy.,Negative
54,Delivery seems normal. As expected.,Negative
55,I think the product looks subpar. Total waste of money.,Positive
56,The packaging was subpar. I hate it.,Negative
57,I think the service seems horrible. Will return it.,Negative
58,This item proved to be very fantastic. Best purchase ever.,Positive
59,I think the service was dreadful. Very frustrated.,Negative
60,I think the packaging was brilliant. I love it.,Positive
61,I think the price looks poor. I hate it.,Neutral
62,My experience was worst. Will return it.,Negative
63,Customer support feels really perfect. Will buy again.,Positive
64,This item feels fairly dreadful. I hate it.,Negative
65,The packaging looks horrible. I hate it.,Negative
