ID,comment,sentiment
1,I think this item proved to be poor. Total waste of money.,Neutral
2,My experience seems totally poor. Very frustrated.,Negative
3,I think this item was terrible. Total waste of money.,Negative
4,I think my experience proved to be fine. Nothing special.,Neutral
5,The price looks completely awful. Save your money.,Negative
6,This item proved to be absolutely standard. Nothing special.,Neutral
7,My experience proved to be awesome. Exceeded expectations.,Positive
8,I think the price is standard. As expected.,Neutral
9,I think the design feels worst. Do not buy.,Negative
10,The product looks absolutely fine. Serves its purpose.,Neutral
11,The service was worst. Will return it.,Negative
12,I think the quality looks terrible. Do not buy.,Negative
13,The packaging feels really great. Best purchase ever.,Neutral
14,The price feels very perfect. Highly recommended!,Positive
15,The service feels extremely poor. Do not buy.,Negative
16,I think the quality proved to be normal. Might buy again.,Neutral
17,The design is fairly perfect. Very satisfied.,Positive
18,The quality is acceptable. As expected.,Neutral
19,The service proved to be dreadful. Save your money.,Negative
20,I think the quality looks horrible. Do not buy.,Negative
21,I think the packaging looks subpar. Total waste of money.,Negative
22,The quality looks very fantastic. Best purchase ever.,Positive
23,The design proved to be awful. Very frustrated.,Negative
24,I think my experience was fair. Serves its purpose.,Negative
25,I think the quality is fair. It does the job.,Neutral
26,I think the product is useless. I hate it.,Negative
27,This item seems fairly disappointing. Save your money.,Negative
28,The product proved to be absolutely awesome. Very satisfied.,Neutral
29,This item is totally fine. Serves its purpose.,Neutral
30,My experience feels terrible. Total waste of money.,Negative
31,The product seems bad. Save your money.,Negative
32,I think the price proved to be fantastic. Will buy again.,Positive
33,The quality proved to be very poor. Very frustrated.,Negative
34,The quality was somewhat poor. Will return it.,Negative
35,The quality is mediocre. Nothing special.,Neutral
36,I think the packaging is excellent. Will buy again.,Positive
37,Delivery was somewhat subpar. Will return it.,Negative
38,I think the packaging is useless. Do not buy.,Negative
39,This item is okay. Serves its purpose.,Neutral
40,I think the price seems wonderful. I love it.,Positive
41,The packaging proved to be somewhat mediocre. Nothing special.,Neutral
42,"The quality is acceptable. Not bad, not great.",Neutral
43,I think delivery proved to be stellar. Highly recommended!,Positive
44,Customer support feels normal. As expected.,Neutral
45,I think this item looks awful. Total waste of money.,Negative
46,The quality feels stellar. Very satisfied.,Positive
47,The service proved to be stellar. Will buy again.,Positive
48,I think the quality is awesome. Exceeded expectations.,Positive
49,The design seems extremely fantastic. I love it.,Neutral
50,I think the price feels acceptable. Serves its purpose.,Neutral
51,I think the product was dreadful. Very frustrated.,Negative
52,Delivery proved to be horrible. Do not buy.,Negative
53,The service was great. Will buy again.,Positive
54,My experience proved to be really great. I love it.,Positive
55,Customer support proved to be dreadful. Very frustrated.,Negative
56,I think the packaging was average. It does the job.,Neutral
57,I think the design proved to be awesome. Best purchase ever.,Positive
58,My experience proved to be completely acceptable. Nothing special.,Neutral
59,Customer support feels very okay. Might buy again.,Neutral
60,I think my experience feels normal. Nothing special.,Neutral
61,Delivery is really normal. Might buy again.,Neutral
62,I think the packaging feels terrible. Save your money.,Negative
63,I think the quality is worst. Very frustrated.,Negative
64,The packaging seems fair. Serves its purpose.,Neutral
65,Delivery feels terrible. Will return it.,Negative
66,I think the quality seems typical. Serves its purpose.,Neutral
67,The product seems awesome. I love it.,Positive
68,The price seems absolutely acceptable. Might buy again.,Neutral
69,The price proved to be awful. Save your money.,Negative
70,I think customer support is fantastic. Exceeded expectations.,Positive
71,The product feels worst. Total waste of money.,Negative
72,I think the product looks great. Exceeded expectations.,Positive
73,My experience seems useless. Total waste of money.,Negative
74,I think the price seems wonderful. Exceeded expectations.,Positive
75,The design proved to be really regular. Nothing special.,Neutral
76,I think delivery seems brilliant. Very satisfied.,Positive
77,This item proved to be awful. I hate it.,Negative
78,The design looks really bad. I hate it.,Negative
79,The price seems very excellent. Best purchase ever.,Positive
