comment,cleaned_comment,sentiment
I love this new phone so much,love new phone much,Positive
The camera quality is absolutely terrible,camera quality absolutely terrible,Negative
It arrived on time and in good condition,arrived time good condition,Positive
Best headphones I have ever used,best headphones ever used,Positive
The battery dies within two hours completely useless,battery dies within two hours completely useless,Negative
Normal shipping nothing special about it,normal shipping nothing special,Neutral
This laptop has changed my life for the better,laptop changed life better,Positive
Disgusting food delivery service never ordering again,disgusting food delivery service never ordering,Negative
The package came in standard brown box,package came standard brown box,Neutral
Absolutely wonderful experience shopping here,absolutely wonderful experience shopping,Positive
The screen cracked on the second day of use,screen cracked second day use,Positive
It is an average product for daily use,average product daily use,Neutral
My kids love this toy it keeps them busy for hours,kids love toy keeps busy hours,Positive
Worst customer service I have ever experienced,worst customer service ever experienced,Negative
The price is reasonable for what you get,price reasonable get,Negative
Amazing quality for such an affordable price,amazing quality affordable price,Positive
Do not waste your money on this garbage product,waste money garbage product,Negative
The app works fine no complaints,app works fine complaints,Neutral
I would buy this again without any hesitation,would buy without hesitation,Positive
The product is nothing like what was advertised,product nothing like advertised,Positive
Shipping was neither fast nor slow just regular,shipping neither fast slow regular,Neutral
My wife loved the surprise gift from this store,wife loved surprise gift store,Positive
Total rip off the product feels cheap and flimsy,total rip product feels cheap flimsy,Negative
It does the job nothing extraordinary,job nothing extraordinary,Neutral
Incredible sound quality on these speakers,incredible sound quality speakers,Negative
Returned it immediately after opening terrible quality,returned immediately opening terrible quality,Negative
The manual was clear and helpful,manual clear helpful,Positive
Five stars this is a masterpiece of engineering,five stars masterpiece engineering,Positive
The delivery person was extremely rude,delivery person extremely rude,Negative
Average taste nothing memorable about this snack,average taste nothing memorable snack,Neutral
This skincare product actually works on my skin,skincare product actually works skin,Positive
Overpriced for such a basic and boring product,overpriced basic boring product,Positive
Got it delivered to my doorstep on time,got delivered doorstep time,Positive
I cannot believe how good this coffee tastes,cannot believe good coffee tastes,Positive
The shoes fell apart after just one week,shoes fell apart one week,Positive
Simple packaging with standard bubble wrap,simple packaging standard bubble wrap,Neutral
My grandmother loves this heating pad so comfortable,grandmother loves heating pad comfortable,Positive
They sent me the wrong color very frustrating,sent wrong color frustrating,Positive
The item weighs about what was described,item weighs described,Positive
This book is a must read highly recommended,book must read highly recommended,Positive
Faulty product it stopped working on day three,faulty product stopped working day three,Positive
Neutral taste not too sweet not too bitter,neutral taste sweet bitter,Positive
Thank you for such a wonderful shopping experience,thank wonderful shopping experience,Positive
Very misleading product description shame on you,misleading product description shame,Positive
It is a basic kitchen tool does what it should,basic kitchen tool,Positive
Superb craftsmanship on this handmade wallet,superb craftsmanship handmade wallet,Positive
Horrible smell coming from the product avoid it,horrible smell coming product avoid,Negative
The dimensions matched the product listing exactly,dimensions matched product listing exactly,Positive
I gifted this to my mom and she absolutely adored it,gifted mom absolutely adored,Negative
Pathetic quality control how did this pass inspection,pathetic quality control pass inspection,Negative
The color is the same as shown in photos,color shown photos,Positive
